"Submission Date","","","Name as many attractions as you can that had FastPass+ as of March 1, 2020 (i.e., before the parks closed).","","Children leaving this location are given a bookmark to commemorate their visit","Belle and Aurora trade off meeting at this Epcot pavilion","This Hollywood Studios restaurant features a princess, among other characters","Jasmine can often be found with Aladdin at a space in this Adventureland shopping area","One princess was evicted to make way for four in this location that opened in 2013","Originally named after the King from a 1959 film","","This seasonally themed location took the space of an entire Epcot pavilion expansion pad","This closed location featured North American animals","It’s original location opened in 1996 relatively close to its current location that opened in 2012","This location is based on a fortress from the 13th Century","You’ll be wishing you’d bought some caramel corn right next door while waiting for Snow White at this pavilion","This location was once called Spoodles","","","Horizons - 1983","Splash Mountain - 2018","Spaceship Earth - 1982","Space Mountain - 1975","The Land - 1982","The Living Seas - 1986","IllumiNations: Reflections of Earth - 2007","Captain Eo - 1986","","it’s a small world - 1991","Enchanted Tiki Room - 1971","Tomorrowland Transit Authority - 2005","Wonders of Life - 1989","World of Motion - 1982","Rock’n’Rollercoaster - 2008","Dinosaur - 1998","If You Had Wings - 1972","","","Person #1","Person #2","Person #3 (or at least, who this *should* be)","Person #4","Person #5","Person #6","","Person #7","Person #8","Person #9","Person #10","Person #11","Person #12","","Person #13","Person #14","Person #15","Person #16","Person #17","Person #18",""
"2020-07-08 12:28:09","Time remaining: 00:00","Time remaining: 00:00","Space Mountain
 Smuggle's Run","Time remaining: 00:00","Tales wit Belle","France","54th and Vine","Adventurer's Bazaar","Fairytale Hall","King Arthur's Carrousel","Time remaining: 00:00","Millenium Hall","Universe of Energy","Boardwalk Bakery","Japan Pavilion","Germany","Flying Fish","Time remaining: 00:00","Time remaining: 00:00","General Motors","Kodak","Siemen's","Boeing","Kraft","Gorton's Fisherman","Siemen's","Kodak","Time remaining: 00:00","McDonalds","Florida Orange Growers","Amtrak","Cigna","General Motors","Aerosmith","","PanAm","Time remaining: 00:00","Time remaining: 02:00","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres","Martin Short","Gilbert Godfrey","Robin Williams","Time remaining: 02:00","Gina Torres","Phylicia Rashad","Michael O'Connor","Chelsea Pretti","Michael Jackson","Michael Richards","Time remaining: 02:00","Judi Dench","Rhea Pearlman","Kevin Pollack","Young MC","Jon Lovitz","Gary Carter","Time remaining: 02:00"
"2020-07-06 16:45:56","Time remaining: 00:00","Time remaining: 00:00","Space Mountain
 Big Thunder Mountain
 Seven Dwarfs Mine Train
 It's A Small World
 Peter Pan's Flight
 Jungle Cruise
 Mickey's Philharmagic
 Haunted Mansion
 Pirates of the Caribbean
 Splash Mountain
 Buzz Lightyear","Time remaining: 00:00","Enchanted Tales with Belle","France","","","","","Time remaining: 00:00","","","","","Germany","","Time remaining: 00:00","Time remaining: 00:00","GE","Ziploc","AT&T","RCA","","United Technologies","","","Time remaining: 00:00","","United Airlines","","","Ford Motors","","McDonald's","Eastern Airlines","Time remaining: 00:00","Time remaining: 03:00","Patrick Warburton","Neil Patrick Harris","","Martin Short","Gilbert Gottfried","Robin Williams","Time remaining: 03:00","","Phylicia Ayers Allen Rashad","","","Michael Jackson","Michael Richards","Time remaining: 03:00","Judi Densch","Rhea Perlman","Kevin Pollak","Tone Loc","Jon Lovitz","Gary Carter","Time remaining: 03:00"
"2020-07-06 16:45:35","Time remaining: 00:00","Time remaining: 00:00","Space Mountain 
 Splash mountain
 Tommorowland Speedway 
 Haunted Mansion
 Test Track
 Mission Space
 Frozen Ever after
 Tower of Terror
 Star Tours
 Slinky Dog Dash
 Sorin
 The Living with Land
 Falcon
 Buzz Lightyear Spin","Time remaining: 00:00","Ariel","England","Brown Derby","Idk","Cinderella","George","Time remaining: 00:00","Idk","Idk","Living with the land","Idk","Norway","Idk","Time remaining: 00:00","Time remaining: 00:00","General Electric","Ziploc","Bell Systems","Rca","Kraft","United Tech","Siemens Ag","Michael Jackson","Time remaining: 00:00","Siemens","Florida citrus growers","Ford","Idk","Idk","Nissan","Idk","Idk","Time remaining: 00:00","Time remaining: 03:59","Epcot Soran Guy","NPH","Tom Corless","Martin Short","Gilbert Gottfried","Robin Willams","Time remaining: 03:59","Idk","Idk","Roger Roger","Idk","Michael Jackson","John Stamos","Time remaining: 03:59","Betty White","Idk","Idk","Ice Cube","Pete Carney","Rob Whiteside","Time remaining: 03:58"
"2020-07-06 16:44:55","Time remaining: 00:00","Time remaining: 00:00","space mountain
 splash mountain
 big thunder mountain
 seven dwarfs
 buzz lightyear
 laugh floor
 tomorrowland speedway
 mad tea party
 barnstormer
 dumbo
 enchanted tales with belle
 little mermaid
 winnie the pooh
 peter pans flight
 small world
 haunted mansion
 jungle cruise
 magic carpets
 pirates
 spaceship earth
 living with the land
 soarin
 test track
 frozen ever after
 runaway railway
 tower of terror
 rockin roller coaster
 slinky dog
 swirling saucers
 rise of the resistance
 smugglers run","Time remaining: 00:22","enchanted tales with belle","france","hollywood and vine","bazaar","princess fairytale hall","","Time remaining: 00:22","sunshine seasons","","","","Germany","","Time remaining: 00:22","Time remaining: 02:02","","ziplock","siemens","","","","","","Time remaining: 02:02","","","","","","","","","Time remaining: 02:02","Time remaining: 04:42","","Neil Patrick Harris","","","Gilbert Gottfried","Robin Williams","Time remaining: 04:42","","","","","Michael Jackson","","Time remaining: 04:42","Judi Dench","Howard Stern","","","","","Time remaining: 04:41"
"2020-07-06 16:44:22","Time remaining: 00:00","Time remaining: 00:00","splash mtn
 space mtn
 thunder mtn
 everest
 kali river rapids
 safari
 spaceship earth
 M&M runaway railway
 Rockin Roller Coaster
 Tower of Terror
 Star Tours
 Haunted Mansion
 Pirates of the Caribbean
 Jungle Cruise
 Dumbo
 Barnstormer
 TeaCups
 Speedway
 7 Dwarfs mine train
 philharmagic
 navi river journey
 flight of passage
 festival of the lion king","Time remaining: 00:00","Enchanted Tales with belle","France","Hollywood and Vine","Agrabah Bazaat","Princess Fairytale hall","Cinderella's Royal Table","Time remaining: 00:00","Frozen M & G","","","","Germany","Tratorria al Forno","Time remaining: 00:00","Time remaining: 00:00","GE","ziploc","Bell systems","RCA","Kraft","United Technologies","Siemens","Kodak","Time remaining: 00:00","Mattel","united air","alamo","metlife","general motors","gibson","mcdonals","eastern air lines","Time remaining: 00:00","Time remaining: 00:07","Patrick Warburton ","Neil Patrick Harris","Ellen DeGeneres","Martin Short","Gilbert Gottfried","Robin Williams","Time remaining: 00:07","Gina Torres","Phylicia Rashad","John Michael Higgins","Alison Janney","Michael Jackson","Michael Richars","Time remaining: 00:07","Judi Dench","Rhea Pearlman","Kevin Pollak","tone loc","Jon Lovitz","","Time remaining: 00:07"
"2020-07-06 16:41:08","Time remaining: 00:00","Time remaining: 00:00","tower of terror
 space mtn
 thunder mtn
 snow white
 peter pan
 small world
 jungle cruise
 pirates
 pandora (both rides)
 elsa ride
 yeti ride
 safari
 mission space
 ariel's ride
 at epcot: the flight one
 haunted mansion","Time remaining: 00:00","","france","","near the enchanted tiki room","askershus?","","Time remaining: 00:00","","","","japan?","germany","","Time remaining: 00:00","Time remaining: 01:14","","","","","","","","","Time remaining: 01:14","","florida orange juice","","","","","","","Time remaining: 01:14","Time remaining: 03:48","","neil patrick harris","","rick morannis","gilbert godfried","robin williams","Time remaining: 03:48","","felica rashad","","","michael jackson","cramer (hehe)","Time remaining: 03:48","dame judy dench","mrs danny devito (Perlman?)","","","","","Time remaining: 03:48"
"2020-07-06 16:37:15","Time remaining: 00:00","Time remaining: 00:00","Space mountain
 Splash mountain 
 Thunder mountain
 Star tours
 Toy story mania
 ","Time remaining: 00:00","Bell story book show ","France ","","","Princess hall","","Time remaining: 00:00","","","","","","","Time remaining: 00:00","Time remaining: 01:28","","","","","","","","","Time remaining: 01:28","","","","","","","","","Time remaining: 01:28","Time remaining: 03:53","","Neil Patrick Harris ","Ellen DeGeneres ","","","","Time remaining: 03:53","","","","Alisyn Jancy ","Mniche Jackson ","","Time remaining: 03:53","","","","","","","Time remaining: 03:53"
"2020-07-06 16:36:50","Time remaining: 00:00","Time remaining: 00:00","Seven dwarfs mine train 
 Space mountain
 Buzz light year space ranger spin
 It’s a small world
 Expedition Everest
 Splash mountain
 Big thunder mountain
 Peter pan’s flight
 The many adventures of Winnie the Pooh
 Kilimanjaro safaris 
 Slinky dog coaster
 Tower or terror
 Rock ‘n’ rollercoaster
 Voyage of the little mermaid
 Toy story mania 
 Alien saucer swirl
 Kali river rapids
 Dinosaur
 Prime evil whirl
 Flight of passage
 Frozen ever after
 Soarin
 Test track 
 Mission space
 Spaceship earth
 Livin with the land
 Turtle talk with crush
 The seas with nemo and friends
 Journey into imagination
 Navi river journey 
 It’s tough to be a bug
 Muppet vision 3D
 Star tours
 Meet mickey at town hall
 Meet TinkerBell
 Princess fairytale hall
 Dumbo
 The barnstormer
 Meet Ariel
 The little mermaid
 Enchanted tales with belle
 Haunted mansion
 Pirates of the Caribbean
 Jungle cruise","Time remaining: 00:00","Enchanted tales with belle","France ","Hollywood and vine","Agraba bazar ","Princess fairy tale hall","Cinderella’s royal table","Time remaining: 00:00","","","","Akershus ","Germany ","","Time remaining: 00:00","Time remaining: 02:27","","","","","","","","","Time remaining: 02:27","","","","","","","","","Time remaining: 02:27","Time remaining: 04:56","Patrick","Neil Patrick Harris ","Ellen degenerous","Martin short ","","Robin williams","Time remaining: 04:56","","","","Allison janney","Michael jackson","","Time remaining: 04:56","Judy dench","","","","","","Time remaining: 04:55"
"2020-07-06 16:33:13","Time remaining: 00:00","Time remaining: 00:00","Space mtn
 Splash mtn
 Peter pan
 Dwarfs mine train
 Small world
 Dumbo
 Buzz space ranger spin
 Toy story mania
 Smugglers run
 Rock n roller coaster
 Tower of terror
 Slinky dog dash
 Muppet vision
 Alien swirling saucers
 Little mermaid show
 Frozen show
 Indiana Jones show
 Star tours
 Fantasmic
 Living seas
 Soarin
 Living with the land
 Figment
 Mission space
 Test track
 Frozen ever after
 Epcot forever
 Everest
 Mickey and minnie AK meet
 Dinosaur
 Primeval whirl
 Rivers of light
 Kali river Rapids
 Kilimanjaro safari
 Flight of passage
 Navi river journey
 Tough to be a big
 Nemo show
 Festival of the lion king
 Big thunder mountain
 Pirates of the caribbean
 Carpet spin
 Barnstormer
 Town square theater mickey
 Town square theater tinker bell
 Speedway
 Winnie the pooh
 Ariel ride
 Princess hall - cinderella/elena
 Princess hall - tiana/rapunzel","Time remaining: 00:00","Enchanted tales with belle","France ","Hollywood and vine","Agrabah","Princess fairytale hall","Carousel","Time remaining: 00:00","Outdoor kitchens ","Camp mickey minnie","Dumbo","Tom Sawyer island","Germany","Tomorrowland terrace ","Time remaining: 00:00","Time remaining: 01:53","GE","Ziploc","Siemens","Gm","Kodak","Kodak","Siemens","Kodak","Time remaining: 01:53","Kodak","Dole","Goodyear","Metlife","Gm","Hanes","Mcdonalds","Delta","Time remaining: 01:53","Time remaining: 04:54","Patrick warburton","Neil Patrick harris","Ellen degeneres","Martin short ","","Robin williams","Time remaining: 04:54","","","","","Michael jackson","","Time remaining: 04:54","Judy dench","","","","Jon lovitz","","Time remaining: 04:54"
"2020-07-06 16:30:21","Time remaining: 00:00","Time remaining: 00:00","Soarin’
 Test track
 Frozen ever after
 Spaceship earth
 Imagination 
 Mission: space 
 Finding Nemo
 Tower of terror
 Rock n roller coaster
 Slinky dog dash
 Alien swirl
 Toy story mania
 Muppets 3D
 Space mountain 
 Splash mountain 
 Big thunder mountain 
 Haunted mansion
 Peter Pan’s flight
 It’s a small world
 Journey of the little mermaid
 Tea cups
 Dumbo
 Barnstormer
 Buzz lightyear space ranger spin
 Expedition Everest 
 Safari
 Flight of passage
 Dinosaur","Time remaining: 00:00","Story time with Belle","France","Hollywood and vine","Agrabah","Princess hall","Cinderella’s carousel","Time remaining: 00:00","Odyssey","Conservation station ","Festival of the lion king ","Pirates of the Caribbean ","Germany","Tomorrowland terrace","Time remaining: 00:00","Time remaining: 00:00","GM","Kodak","AT&T","RCA","Nestle","","","Polaroid ","Time remaining: 00:00","","","","","GMC","Aerosmith","","Delta","Time remaining: 00:00","Time remaining: 04:03","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres","Martin Short","Gilbert Godfrey ","Robbin Williams ","Time remaining: 04:03","","Phylicia Richad","","Alison Janney","Michael Jackson ","Mike Richards","Time remaining: 04:00","Judi Dench","Rhea Pearlman","Kevin Pollack","","Jon Lovitz","","Time remaining: 04:00"
"2020-07-06 16:28:14","Time remaining: 00:00","Time remaining: 00:00","Soarin, kali river rapids, Everest, Navi river journey, flight of passage, Kilimanjaro safari, finding Nemo show, dinosaur, haunted mansion, small world, Peter pan’s flight, seven dwarves mine train, mad tea party space mountain, buzz light year space ranger spin, pirates of the Carribean, splash mountain, big thunder mountain railroad, dumbo, Mickey meet and greet, princess meet and greet, tinker bell meet and greet, living with the land","Time remaining: 00:00","Story time with belle","Akershouse","Hollywood and vine","Magic carpet spin","Snow White scary adventures","King stephan’s banquet hall","Time remaining: 00:00","","Discovery Island","","Pirates of the Caribbean ","Germany","Kat Kora’s Restaurant","Time remaining: 00:00","Time remaining: 00:00","Ge","Ziplock","At&t","RCA","Kraft","United technologies ","gE","Kodak","Time remaining: 00:00","Matell","Orange makers of Florida","","","General Motors ","Aerosmith","","Eastern airlimes","Time remaining: 00:00","Time remaining: 01:31","Patrick Warburton","Neil Patrick Harris","Ellen Degenerous","Martin Short","Gilbert Godfrey","Robin williams","Time remaining: 01:31","","Phillisia Rachaad","John Michael Higgins","Alison Janney","Michael Jackson","Michael richards","Time remaining: 01:31","Dame Judi Dench","Rhea pearlman","","Tone Loc","John Lovitz","","Time remaining: 01:31"
"2020-07-06 16:27:32","Time remaining: 00:00","Time remaining: 00:00","Test Track
 Mission Space
 Spaceship Earth
 Character Spot
 Soarin
 Journey into Imagination
 Nemo & Friends
 Pixar Short Film Fest
 Turtle Talk
 Frozen Ever After
 Meet Mickey (MK, AK, HS)
 Indiana Jones Stunt Show
 Rockin Roller Coaster
 Tower of Terror
 Voyage of the Little Mermaid
 Disney Junior Show
 Star Tours
 Frozen Show at DHS
 Beauty & the Beast
 Muppetvision
 Pirates of the Caribbean
 Space Mountain
 Slinky Dog
 ASS
 Toy Story Mania
 Smugglers Run
 Peter Pan
 Spalsh Mtn
 Big Thunder Mtn
 Buzz Lightyear
 Monsters Inc
 its a small world
 Princess Meet & Greet
 Philharmagic
 Dumbo","Time remaining: 00:00","","France","","Marketplace","","Sorcer & Stone","Time remaining: 00:00","","","","","","","Time remaining: 00:00","Time remaining: 00:30","GE","Ziploc","AT&T","Panasonic","Kraft","United Technologies","Siemens","","Time remaining: 00:30","","","Goodyear","MetLife","General Motors","Hanes","McDonalds","Eastern Airlines","Time remaining: 00:30","Time remaining: 04:25","Patrick Warburton","Neil Patrick Harris","Elen Degeneres","Short","","","Time remaining: 04:25","","","","Alison Janey","Michael Jackson","","Time remaining: 04:25","","","","","","","Time remaining: 04:25"
"2020-07-06 16:25:50","Time remaining: 00:00","Time remaining: 00:00","Splash mountain 
 Space mountain
 Big thunder
 Peter pan's flight
 Ariel's underwater
 Test track
 Soarin
 Frozen
 Living with the land
 Rotr
 Millennium falcon 
 Slinky dog
 Toy story mania
 Rockin roller coaster
 Kali river Rapids
 Festival of the lion king
 Up birds 
 Kilimanjaro safari
 Exposition Everest
 Tomorrowland speedway","Time remaining: 00:00","","France","Hollywood and vine","Bazaar","Cinderella royal table","","Time remaining: 00:00","","","","Morocco ","France","","Time remaining: 00:00","Time remaining: 00:00","Kodak","Zip lock","Ge","Ge","Kraft","","Kodak","Kodak","Time remaining: 00:00","","","","","","","McDonald's","Delta ","Time remaining: 00:00","Time remaining: 00:52","Patrick wharburton ","Neil Patrick Harris ","Genine garrafalo ","Martin short","Gilbert godfied","Robin williams","Time remaining: 00:52","Zoe from firefly","Felicia Rashad ","That guy that's in everything","","Michael jackson","Kramer ","Time remaining: 00:52","Angela Bassett ","Rhea pearlman","Kevin mcdonald","Ton loc?","Acting!!! Jon lovitz","Gary carter","Time remaining: 00:52"
"2020-07-06 16:25:10","Time remaining: 00:00","Time remaining: 00:00","Slinky dog dash 
 Millennium falcon smugglers run
 Rise of the resistance 
 ","Time remaining: 01:22","","","","","","","Time remaining: 01:22","","","","","","","Time remaining: 01:22","Time remaining: 02:23","","","","","","","","","Time remaining: 02:23","","","","","","","","","Time remaining: 02:23","Time remaining: 04:53","","Neil Patrick harris","Ellen de generes ","","","","Time remaining: 04:53","","","","","Michael jackson","","Time remaining: 04:53","Judi dench","","","","","","Time remaining: 04:52"
"2020-07-06 16:24:43","Time remaining: 00:00","Time remaining: 00:00","7 dwarfs mine train
 space mountain
 big thunder
 pirates
 dumbo
 IASWAA
 Peter Pan
 Flight of Passage 
 Kilamanjaro Safari
 Expedition Everest
 Kali River
 Its tought to be a bug
 Dinosaur
 Navii River Journey
 Magic Carpets of Aladdin
 Mickeys Phinlharmagic
 Smugglers Run
 M&M Runaway Raiload
 ToT
 R&Roller coaster
 Voyage of the Little Mermaid
 Frozen Ever After","Time remaining: 00:00","Enchanted Tales with Belle","France","Hollywwod & Vine","Advetureland Marketplace","Snow White","Kung Stefan's Feast - CInderella Royal Table","Time remaining: 00:00","Summerhaus","Camp Mikey Minne","idk","Norway Akershus","Germany","Flying Fish","Time remaining: 00:00","Time remaining: 00:00","GE","FedEx","ATT","RCA","Kraft","Untied Technologies","Siemens","Kodak","Time remaining: 00:00","Sylvania","Florida Orange Growers","Goodyear","MetLife","GM","Gibson","McDonalds","Eatern Airline","Time remaining: 00:00","Time remaining: 02:45","Patrick Warburton","Neil Patrck Harris","Ellen Degeneres","Martin Short","Gilbert Godfried","Robin Williams","Time remaining: 02:45","Michelle Obama","Felcia Rashad","","Kathy Griffin","Michale Jackson","Michael Richards","Time remaining: 02:45","Judy Dench","Howard Stern","","Tone Loc","John Lovitz","Gary Carter","Time remaining: 02:45"
"2020-07-06 16:22:26","Time remaining: 00:00","Time remaining: 00:00","Jungle cruise 
 Pirates of the Caribbean 
 Splash mountain 
 Big thunder mountain railroad 
 Haunted mansion 
 Peter pan’s flight
 It’s a small world
 Seven dwarfs mine train
 Many adventures of Winnie the Pooh
 Mad tea party
 Dumbo
 Barnstormer
 Tomorrowland speedway
 Monsters inc laugh floor
 Buzz lightyear space ranger spin
 Space mountain 
 Spaceship earth 
 Living with the land","Time remaining: 00:00","Enchanted tales with belle","France ","Hollywood and vine","The bazaar ","Princess fairytale hall","Akershus","Time remaining: 00:00","Frozen Sommerhas","Artist point","","Morocco ","Germany ","","Time remaining: 00:00","Time remaining: 00:00","","Ziplock ","Kodak","","","","Siemens","","Time remaining: 00:00","Pepsi","WED","","","General Motors ","Hanes","McDonald’s","","Time remaining: 00:00","Time remaining: 02:56","Patrick warburton","Neil Patrick Harris ","Ellen degeneres ","Martin short","Gilbert gottfreid","Robin Williams ","Time remaining: 02:56","","","","","Michael Jackson ","","Time remaining: 02:56","Judy dench","","","Tone loc","","","Time remaining: 02:56"
"2020-07-06 16:22:10","Time remaining: 00:00","Time remaining: 00:00","Space Mountain, Splash Mountain, Big Thunder Mountain, Peter Pan’s Flight, Rockin Rollercoaster, Tower of Terror, Alien Swirling Saucers, Slinky Dog Dash, Smuggler’s Run, Spaceship Earth, Test Track, Soarin Around the World, Frozen Ever After, Barnstormer, Meet Mickey and Minnie, Haunted Mansion, Journey Into Imagination with Figment, Flight of Passage, Na’vi River Journey, Expedition Wverest","Time remaining: 00:00","Enchanted Tales with Belle","France","Hollywood and Dine","Agrabah","Princess Royal Hall","Merlin’s","Time remaining: 00:00","?","?","?","Morocco","Germany","?","Time remaining: 00:00","Time remaining: 01:05","","Ziploc","Siemens","FedEx","Mother Earth","","Siemens","Siemens","Time remaining: 01:05","","","FedEx","","","","","","Time remaining: 01:05","Time remaining: 04:04","Patrick Warburton","Neil Patrick Harris","Ellen DeGeneres","Martin Short","Gilbert Gottfried","Robin Williams","Time remaining: 04:04","","Phylicia Rashad","John Michael Higgins","Alison Janney","Michael Jackson","Michael Richards","Time remaining: 04:04","Judi Dench","Rhea Perlman","","","Jon Lovitz","","Time remaining: 04:03"
"2020-07-06 16:20:48","Time remaining: 00:00","Time remaining: 00:00","Test Track
 Dinosaur
 Spaceship Earth
 Buzz Lightyear’s Space Ranger Spin
 Splash Mountain
 Big Thunder Mountain
 Space Mountain
 Seven Dwarves Mine Train
 Mission Space
 Journey into Imagination with Figment
 Soarin’
 Living with the Land
 The Seas with Nemo and Friends
 Turtle Talk with Crush
 Mickey and Minnie’s Runaway Railway
 Star Tours
 Indiana Jones Epic Stunt Spectacular
 Millennium Falcon: Smuggler’s Run
 Slinky Dog Dash
 Alien Swirling Saucers
 Voyage of the Little Mermaid
 Flight of Passage
 Na’vi River Journey
 Expedition Everest
 Frozen Ever After","Time remaining: 00:00","","France","Hollywood and Vine","","Fairytale Hall","Cinderella’s Royal Table","Time remaining: 00:00","Royal Sommerhus","","","","Germany","","Time remaining: 00:00","Time remaining: 00:26","General Electric","Ziploc","Bell System","RCA","Kraft","United Technologies","Siemens","Kodak","Time remaining: 00:26","","","Alamo","Metropolitan Life","General Motors","Hanes","McDonald’s","Eastern Airlines","Time remaining: 00:26","Time remaining: 03:43","Patrick Warburton","Gary Sinise","Ellen DeGeneres","Eric Idle","Gilbert Gottfried","","Time remaining: 03:43","","","","","Michael Jackson","","Time remaining: 03:43","Judi Dench","","","","","","Time remaining: 03:43"
"2020-07-06 16:18:23","Time remaining: 00:00","Time remaining: 00:00","Seven Dwarfs mine train
 Dumbo
 Tomorrowland speedway
 Space mountain
 Splash mountain
 Buzz Lightyear space rangers
 Peter Pan
 Winnie the Pooh
 Little Mermaid
 Big thunder mountain railroad
 Aladdins magic carpets
 Pirates of the Caribbean
 Jungle cruise
 Haunted mansion
 It’s a small world
 Navi river journey
 Flight of passage
 Kilimanjaro safaris
 Kali river rapids
 Dinosaur
 Expedition Everest
 Soarin
 Test track","Time remaining: 00:00","Enchanted tales with belle","France","Hollywood brown derby","Agrabah bazaar","Princess fairytale hall","","Time remaining: 00:00","","Camp Mickey minnie","","","Germany","","Time remaining: 00:00","Time remaining: 00:00","","Ziploc ","Siemens","","","","","","Time remaining: 00:00","","","","","","","","","Time remaining: 00:00","Time remaining: 01:49","Patrick Warburton","Neil Patrick Harris","","Martin Short","Gilbert Gottfried","Robin williams","Time remaining: 01:49","Gina torres ","Phylicia rashad","","Allison Janney ","Michael Jackson","Michael richards ","Time remaining: 01:49","Judi dench ","Rhea perlman ","","","Jon lovitz ","Gary carter","Time remaining: 01:49"
"2020-07-06 16:17:23","Time remaining: 00:00","Time remaining: 00:00","Splash Mountain
 Big Thunder Mountain
 Space Mountain
 Town Square Theatre
 Haunted Mansion
 Pirates
 Jungle Cruise
 Seven Dwarves Mine Train 
 Many Adventures of Winnie the Pooh
 Princess Fairytale Hall
 Under the Sea (Little Mermaid)
 Spaceship Earth 
 Mission Space
 Soarin’
 Living with the Land 
 Frozen Ever After
 Peter Pan’s Flight
 it’s a small world
 Haunted Mansion
 Mickey and Minnie’s Runaway Railway
 Smuggler’s Run
 Slinky Dog Dash
 Alien Swirling Saucers
 Kiliminjaro Safaris
 Flight of Passage
 Navi River Journey
 Dinosaur
 Everest
 Tough to be a bug","Time remaining: 00:00","Enchanted Tales with Belle","France","Hollywood and Vine","","Princess Fairytale Hall","","Time remaining: 00:00","","","","","Germany","","Time remaining: 00:00","Time remaining: 01:57","","Ziploc","Siemen’s","","","","","","Time remaining: 01:57","","","","","","","","","Time remaining: 01:57","Time remaining: 04:27","","Neil Patrick Harris","Ellen Degenerous ","Marty","","Robin Williams","Time remaining: 04:27","","","","","","","Time remaining: 04:27","","","","","","","Time remaining: 04:26"
"2020-07-06 16:15:01","Time remaining: 00:00","Time remaining: 00:00","Space Mountain
 Splash Mountain 
 Thunder Mountain Small World
 Speedway
 Buzz Lighyear Spin
 Dumbo
 Teacups
 Barnstormer 
 Under the Sea with Little Mermaid 
 Enchanted Tales 
 Princess Fairy Tale Hall
 Peter Pans Flight 
 Haunted Mansion 
 Jungle Cruise 
 Aladdin Carpets
 Philarmagic 
 Test Track
 Soarin
 Frozen Ever After
 Spaceship Earth
 Living with the Land
 Journey into Imagination 
 Expedition Everest 
 Kilmanajro Safari
 It’s Tough to be a Bug
 Finding Nemo the Musical
 Kali River Rapid
 Rivers of Light 
 Dinosaur","Time remaining: 00:00","Enchanted Tales with Belle ","France","Hollywood and Vine ","Agrabah ","Princess Fairytale Hall","","Time remaining: 00:00","","","Ariel’s Grotto","","Germany ","","Time remaining: 00:00","Time remaining: 01:43","","Ziploc","","","","","","","Time remaining: 01:43","","","","","","Hanes","McDonald’s","","Time remaining: 01:43","Time remaining: 04:29","Patrick Walbutton ","Neil Patrick Harris ","Ellen Degeneres","Martin Short ","Gilbert Godfrey ","Robin Williams","Time remaining: 04:29","","","","Allison Janney","Michael Jackson","","Time remaining: 04:29","Judi Dench ","","","","","","Time remaining: 04:28"
"2020-07-06 16:14:37","Time remaining: 00:00","Time remaining: 00:00","Space Mountain
 Splash Mountain
 Jungle Cruise
 Pirates
 Big Thunder Mtn RR
 Space Ranger Spin
 Mine Train
 Tomorrowland Speedway
 Peter Pan
 Frozen ever after
 Spaceship earth
 Soarin
 Test Track
 Mission Space
 Toy Story Midway Mania
 Slinky dog
 Alien saucers
 Star Tours
 Rock n Roller Coaster
 Everest
 Kali River Rapids
 Kilimanjaro Safaris
 
 
 ","Time remaining: 00:00","","France","Hollywood and Vine","","Fairytale hall","","Time remaining: 00:00","","","","","Germany","","Time remaining: 00:00","Time remaining: 00:00","GE","","Bell","rca","kraft","united technologies","","","Time remaining: 00:00","mattel","","alamo","met life","gm","","","eastern air","Time remaining: 00:00","Time remaining: 02:13","Patrick Warburton","neil patrick harris","ellen degeneres","martin short","gilbert gotfried","robin williams","Time remaining: 02:13","","phylicia reshad","","","michael jackson","michael richards","Time remaining: 02:13","judi dench","howard stern","","","jon lovitz","gary carter","Time remaining: 02:13"
"2020-07-06 16:14:09","Time remaining: 00:00","Time remaining: 00:00","Splash Mountain
 Big Thunder Mountain
 Pirates of the Caribbean
 Jungle Cruise
 Magic Carpets of Aladdin
 Haunted Mansion
 Peter Pan's Flight
 7 Dwarfs Mine Train
 Enchanted Tales with Belle
 Mickey's Philharmagic
 Princess Fairytale Hall
 Many Adventures of Winnie the Pooh
 Mad Tea Party
 Dumbo
 Barnstormer
 Tomorrowland Speedway
 Space Mountain
 Buzz Lightyear Space Ranger Spin
 Soarin' Around the World
 Test Track
 Frozen Ever After
 The Seas with Nemo
 Spaceship Earth
 Journey Into Imagination with Figment
 Tower of Terror
 Slinky Dog Dash
 Alien Swirling Saucers 
 Rock N Roller Coaster
 Flight of Passage","Time remaining: 53:16","Enchanted Tales with Belle","France","","","Princess Fairytale Hall","","Time remaining: 53:16","","","","","Germany","","Time remaining: 53:16","Time remaining: 00:00","GE","Ziplock","AT&T","RCA","Kraft","United","","Kodak","Time remaining: 00:00","","","","Metro Life Insurance","General Motors","","","Delta","Time remaining: 00:00","Time remaining: 03:26","Patrick Warburton ","Neil Patrick Harris","Ellen Degeneres ","Martin Short","Gilbert Gotfired","Robin Williams","Time remaining: 03:26","Gina Torres","Phylicia Rashad","","","Michael Jackson","Michael Richards","Time remaining: 03:26","Judy Dench","","Keven Pollack ","Ton Loc","John Lovitz","","Time remaining: 03:25"
"2020-07-06 16:13:43","Time remaining: 00:00","Time remaining: 00:00","Rise of the Resistance 
 Smuggler's Run
 Space Mountain
 Thunder Mountain
 Pirates of the Caribbean
 Soarin'
